id	raw_category	nyu40id	NYU40 Mapping		Eigen Mapping		RIO27 Mapping		RIO7 Mapping	#sum	#train	#test	#val
107	coffee maker	40	otherprop	7	Objects	26	object	0	-	14	14	0	0
108	coffee table	7	table	10	Table	7	table	2	table / cabinet	169	141	21	28
109	column	38	otherstructure	0	-	0	-	0	-	19	17	7	2
110	commode	3	cabinet	6	Furniture	3	cabinet	2	table / cabinet	269	238	50	31
111	computer	40	otherprop	7	Objects	26	object	0	-	12	12	1	0
112	computer desk	14	desk	10	Table	7	table	2	table / cabinet	12	7	0	5
113	console	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
114	container	40	otherprop	7	Objects	20	box	6	items	28	0	0	28
115	cooking pot	40	otherprop	7	Objects	0	-	0	-	3	1	0	2
116	corner bench	39	otherfurniture	6	Furniture	5	chair	1	seating	0	0	3	0
117	cosmetics kit	40	otherprop	7	Objects	0	-	0	-	0	0	1	0
118	couch	6	sofa	9	Sofa	6	sofa	3	bed / sofa	117	80	9	37
119	couch table	7	table	10	Table	7	table	2	table / cabinet	66	50	18	16
120	counter	12	counter	6	Furniture	10	counter	0	-	108	95	16	13
121	cover	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
122	cradle	39	otherfurniture	6	Furniture	0	-	0	-	4	4	0	0
123	crate	39	otherfurniture	6	Furniture	0	-	0	-	4	4	0	0
124	crib	39	otherfurniture	6	Furniture	0	-	0	-	9	9	0	0
125	cube	40	otherprop	7	Objects	0	-	0	-	22	22	0	0
126	cup	40	otherprop	7	Objects	0	-	0	-	9	6	0	3
127	cupboard	3	cabinet	6	Furniture	11	shelf	2	table / cabinet	60	51	4	9
128	cups	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
129	curtain	16	curtain	7	Objects	12	curtain	0	-	775	660	81	115
130	curtain rail	16	curtain	7	Objects	12	curtain	0	-	8	8	0	0
131	cushion	18	pillow	7	Objects	13	pillow	5	cushions	262	199	46	63
132	cushions stack	18	pillow	7	Objects	13	pillow	0	-	0	0	7	0
133	cut board	40	otherprop	7	Objects	0	-	0	-	10	10	0	0
134	cutting board	40	otherprop	7	Objects	26	object	6	items	34	26	4	8
135	cycling trainer	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
136	darts	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
137	decoration	40	otherprop	7	Objects	0	-	0	-	131	96	5	35
138	desk	14	desk	10	Table	7	table	2	table / cabinet	263	244	48	19
139	desk chair	5	chair	4	Chair	5	chair	0	-	50	50	0	0
140	device	40	otherprop	7	Objects	0	-	6	items	28	28	6	0
141	diapers	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
142	dining chair	5	chair	4	Chair	5	chair	1	seating	65	55	0	10
143	dining set	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
144	dining table	7	table	10	Table	7	table	2	table / cabinet	45	39	2	6
145	discs	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
146	dish	40	otherprop	7	Objects	0	-	0	-	9	9	0	0
147	dish dryer	40	otherprop	7	Objects	0	-	0	-	12	12	0	0
148	dishdrainer	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
149	dishes	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
150	dishwasher	38	otherstructure	0	-	0	-	0	-	9	9	0	0
151	dispenser	40	otherprop	7	Objects	0	-	0	-	7	7	0	0
152	documents	26	paper	7	Objects	0	-	0	-	8	8	0	0
153	dog	40	otherprop	7	Objects	0	-	0	-	1	0	0	1
154	doll	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
155	door	8	door	0	-	8	door	7	structure	880	770	97	110
156	door /other room	8	door	0	-	8	door	0	-	4	4	0	0
157	door mat	20	floor mat	7	Objects	2	floor	0	-	1	1	0	0
158	doorframe	38	otherstructure	0	-	8	door	0	-	388	332	33	56
159	doorframe /other room	38	otherstructure	0	-	8	door	0	-	1	1	0	0
160	drain pipe	38	otherstructure	0	-	0	-	0	-	2	2	0	0
161	drawer	39	otherfurniture	6	Furniture	3	cabinet	2	table / cabinet	38	33	9	5
162	drawers	17	dresser	6	Furniture	3	cabinet	0	-	11	11	0	0
163	drawers rack	39	otherfurniture	6	Furniture	0	-	0	-	4	4	0	0
164	dress	40	otherprop	7	Objects	14	clothes	0	-	4	4	2	0
165	dresser	17	dresser	6	Furniture	3	cabinet	0	-	5	5	0	0
166	dressing table	7	table	10	Table	7	table	0	-	5	5	0	0
167	drinks	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
168	drum	40	otherprop	7	Objects	0	-	6	items	7	2	0	5
169	drying machine	40	otherprop	7	Objects	0	-	4	appliances	22	13	0	9
170	drying rack	40	otherprop	7	Objects	0	-	0	-	8	8	1	0
171	dumbbells	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
172	elevator	38	otherstructure	0	-	0	-	0	-	4	4	0	0
173	elliptical trainer	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
174	exhaust hood	40	otherprop	7	Objects	0	-	0	-	14	14	0	0
175	exit sign	40	otherprop	7	Objects	0	-	0	-	1	1	2	0
176	extractor fan	40	otherprop	7	Objects	0	-	0	-	10	7	0	3
177	fabric	40	otherprop	7	Objects	14	clothes	0	-	0	0	2	0
178	fan	40	otherprop	7	Objects	0	-	0	-	9	7	3	2
179	fence	38	otherstructure	0	-	0	-	0	-	3	1	0	2
180	festoon	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
181	figure	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
182	file cabinet	3	cabinet	6	Furniture	3	cabinet	0	-	12	12	13	0
183	fire extinguisher	40	otherprop	7	Objects	26	object	0	-	6	6	0	0
184	fireplace	38	otherstructure	0	-	0	-	0	-	31	18	2	13
185	firewood box	29	box	7	Objects	20	box	0	-	5	0	0	5
186	flag	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
187	flipchart	40	otherprop	7	Objects	0	-	0	-	1	1	0	0
188	floor	2	floor	5	Floor	2	floor	0	-	1341	1182	150	159
189	floor /other room	2	floor	5	Floor	2	floor	0	-	16	13	1	3
190	floor lamp	35	lamp	7	Objects	0	-	6	items	11	11	6	0
191	floor mat	20	floor mat	7	Objects	2	floor	0	-	0	0	1	0
192	flower	40	otherprop	7	Objects	19	plant	0	-	45	36	4	9
193	flowers	40	otherprop	7	Objects	19	plant	6	items	35	26	2	9
194	flush	40	otherprop	7	Objects	0	-	0	-	14	14	0	0
195	folded beach chairs	5	chair	4	Chair	5	chair	0	-	5	5	0	0
196	folder	40	otherprop	7	Objects	0	-	0	-	16	9	0	7
197	folding chair	5	chair	4	Chair	5	chair	0	-	3	3	0	0
198	food	40	otherprop	7	Objects	0	-	0	-	15	10	0	5
199	foosball table	40	otherprop	7	Objects	7	table	0	-	14	14	0	0
200	footstool	39	otherfurniture	6	Furniture	5	chair	1	seating	6	4	2	2
201	frame	38	otherstructure	0	-	0	-	0	-	106	84	15	22
202	fridge	24	refridgerator	6	Furniture	16	fridge	0	-	4	0	0	4
203	fruit	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
204	fruit plate	40	otherprop	7	Objects	0	-	0	-	4	1	0	3
205	fruits	40	otherprop	7	Objects	0	-	0	-	11	11	0	0
206	furniture	39	otherfurniture	6	Furniture	0	-	0	-	13	13	0	0
207	garbage	40	otherprop	7	Objects	26	object	6	items	41	37	9	4
208	garbage bin	40	otherprop	7	Objects	26	object	6	items	28	22	3	6
209	garden umbrella	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
210	generator	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
211	glass	38	otherstructure	0	-	0	-	0	-	2	0	0	2
212	glass wall	1	wall	12	Wall	1	wall	0	-	6	6	0	0
213	grass	38	otherstructure	0	-	19	plant	0	-	5	3	0	2
214	guitar	40	otherprop	7	Objects	26	object	0	-	14	14	0	0
215	gymnastic ball	40	otherprop	7	Objects	0	-	1	seating	3	0	0	3
216	hair dryer	40	otherprop	7	Objects	0	-	0	-	1	1	2	0
217	hand brush	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
218	hand dryer	40	otherprop	7	Objects	0	-	0	-	21	15	2	6
219	hand washer	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
220	handbag	40	otherprop	7	Objects	0	-	0	-	6	6	0	0
221	handhold	40	otherprop	7	Objects	0	-	0	-	0	0	7	0
222	handle	40	otherprop	7	Objects	0	-	0	-	0	0	2	0
223	handrail	38	otherstructure	0	-	0	-	0	-	3	3	0	0
224	hanger	40	otherprop	7	Objects	0	-	0	-	19	19	4	0
225	hangers	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
226	hanging cabinet	3	cabinet	6	Furniture	3	cabinet	0	-	12	12	0	0
227	headboard	39	otherfurniture	6	Furniture	0	-	0	-	0	0	2	0
228	heater	39	otherfurniture	6	Furniture	26	object	0	-	319	281	47	38
229	helmet	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
230	hood	40	otherprop	7	Objects	0	-	0	-	4	0	0	4
231	humidifier	40	otherprop	7	Objects	0	-	0	-	12	12	0	0
232	hygiene products	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
233	instrument	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
234	iron	40	otherprop	7	Objects	0	-	0	-	4	4	1	0
235	ironing board	40	otherprop	7	Objects	26	object	0	-	21	21	1	0
236	item	40	otherprop	7	Objects	26	object	6	items	804	715	87	89
237	items	40	otherprop	7	Objects	26	object	0	-	35	35	0	0
238	jacket	40	otherprop	7	Objects	14	clothes	0	-	3	1	1	2
239	jalousie	13	blinds	7	Objects	9	window	0	-	17	17	0	0
240	jar	40	otherprop	7	Objects	0	-	0	-	22	15	2	7
241	jug	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
242	juicer	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
243	kettle	40	otherprop	7	Objects	26	object	6	items	50	42	0	8
244	keyboard	40	otherprop	7	Objects	26	object	0	-	30	23	5	7
245	kids bicycle	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
246	kids chair	5	chair	4	Chair	5	chair	0	-	7	7	0	0
247	kids rocking chair	5	chair	4	Chair	5	chair	0	-	3	3	0	0
248	kids stool	5	chair	4	Chair	5	chair	0	-	4	4	0	0
249	kids table	7	table	10	Table	7	table	0	-	2	2	0	0
250	kitchen appliance	40	otherprop	7	Objects	0	-	0	-	94	83	3	11
251	kitchen cabinet	3	cabinet	6	Furniture	3	cabinet	0	-	382	326	10	56
252	kitchen counter	12	counter	6	Furniture	10	counter	0	-	143	125	3	18
253	kitchen hood	40	otherprop	7	Objects	0	-	0	-	14	8	1	6
254	kitchen item	40	otherprop	7	Objects	26	object	0	-	6	6	0	0
255	kitchen object	40	otherprop	7	Objects	26	object	6	items	3	0	0	3
256	kitchen playset	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
257	kitchen rack	15	shelves	6	Furniture	11	shelf	0	-	9	9	0	0
258	kitchen sink	34	sink	6	Furniture	23	sink	0	-	0	0	4	0
259	kitchen sofa	6	sofa	9	Sofa	6	sofa	0	-	3	0	0	3
260	kitchen towel	27	towel	7	Objects	18	towel	0	-	36	35	4	1
261	knife box	29	box	7	Objects	20	box	0	-	3	3	0	0
262	ladder	39	otherfurniture	6	Furniture	0	-	0	-	19	17	3	2
263	lamp	35	lamp	7	Objects	24	lamp	6	items	797	685	73	112
264	laptop	40	otherprop	7	Objects	26	object	6	items	59	56	4	3
265	laundry basket	40	otherprop	7	Objects	20	box	6	items	43	33	7	10
266	letter	26	paper	7	Objects	0	-	0	-	8	8	0	0
267	light	38	otherstructure	0	-	24	lamp	0	-	396	359	60	37
268	linen	21	clothes	7	Objects	14	clothes	0	-	2	0	0	2
269	locker	3	cabinet	6	Furniture	3	cabinet	0	-	12	12	0	0
270	lockers	39	otherfurniture	6	Furniture	0	-	0	-	4	4	0	0
271	loft bed	4	bed	1	Bed	4	bed	0	-	6	6	0	0
272	lounger	5	chair	4	Chair	5	chair	0	-	1	1	0	0
273	luggage	40	otherprop	7	Objects	26	object	0	-	16	16	0	0
274	machine	40	otherprop	7	Objects	26	object	0	-	11	8	2	3
275	magazine	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
276	magazine files	40	otherprop	7	Objects	0	-	0	-	9	9	0	0
277	magazine rack	15	shelves	6	Furniture	11	shelf	0	-	4	2	0	2
278	magazine stand	39	otherfurniture	6	Furniture	0	-	0	-	2	2	0	0
279	mandarins	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
280	mannequin	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
281	mask	40	otherprop	7	Objects	0	-	0	-	0	0	2	0
282	mattress	40	otherprop	7	Objects	4	bed	0	-	4	4	0	0
283	medical device	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
284	menu	40	otherprop	7	Objects	0	-	0	-	13	1	0	12
285	meter	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
286	microwave	40	otherprop	7	Objects	0	-	0	-	76	66	0	10
287	milk	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
288	mirror	19	mirror	7	Objects	0	-	0	-	128	120	16	8
289	monitor	40	otherprop	7	Objects	26	object	0	-	260	244	69	16
290	mop	40	otherprop	7	Objects	0	-	0	-	9	9	0	0
291	multicooker	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
292	napkins	40	otherprop	7	Objects	0	-	0	-	16	15	8	1
293	newspaper	26	paper	7	Objects	0	-	0	-	2	2	0	0
294	newspaper rack	15	shelves	6	Furniture	11	shelf	0	-	4	4	0	0
295	nightstand	32	night stand	6	Furniture	21	nightstand	2	table / cabinet	157	156	27	1
296	notebook	40	otherprop	7	Objects	26	object	0	-	6	6	0	0
297	notebooks	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
298	object	40	otherprop	7	Objects	26	object	6	items	660	581	38	79
299	objects	40	otherprop	7	Objects	26	object	0	-	20	19	3	1
300	office chair	5	chair	4	Chair	5	chair	0	-	14	14	0	0
301	office table	7	table	10	Table	7	table	0	-	13	13	0	0
302	organizer	40	otherprop	7	Objects	0	-	0	-	40	37	4	3
303	ottoman	39	otherfurniture	6	Furniture	6	sofa	5	cushions	72	41	5	31
304	oven	38	otherstructure	0	-	0	-	0	-	88	72	2	16
305	oven glove	40	otherprop	7	Objects	14	clothes	0	-	4	0	0	4
306	pack	40	otherprop	7	Objects	0	-	0	-	52	36	4	16
307	package	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
308	packs	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
309	painting	11	picture	8	Picture	1	wall	0	-	7	7	3	0
310	pan	40	otherprop	7	Objects	0	-	0	-	14	12	1	2
311	paper	26	paper	7	Objects	0	-	0	-	10	10	0	0
312	paper cutter	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
313	paper holder	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
314	paper sign	26	paper	7	Objects	0	-	0	-	3	3	0	0
315	paper stack	26	paper	7	Objects	0	-	0	-	10	10	3	0
316	paper towel	40	otherprop	7	Objects	18	towel	0	-	24	21	0	3
317	paper towel dispenser	40	otherprop	7	Objects	0	-	0	-	16	13	4	3
318	papers	26	paper	7	Objects	0	-	0	-	8	6	0	2
319	partition	1	wall	12	Wall	1	wall	0	-	23	23	0	0
320	pavement	38	otherstructure	0	-	0	-	0	-	2	2	0	0
321	pc	40	otherprop	7	Objects	26	object	0	-	100	95	17	5
322	pepper	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
323	pet bed	40	otherprop	7	Objects	13	pillow	5	cushions	5	5	4	0
324	photo frame	11	picture	8	Picture	0	-	0	-	6	6	0	0
325	photos	11	picture	8	Picture	0	-	0	-	2	2	0	0
326	piano	39	otherfurniture	6	Furniture	0	-	0	-	8	8	0	0
327	picture	11	picture	8	Picture	0	-	6	items	585	492	50	93
328	pictures	11	picture	8	Picture	26	object	0	-	4	4	5	0
329	pile	40	otherprop	7	Objects	0	-	0	-	8	8	0	0
330	pile of books	40	otherprop	7	Objects	0	-	0	-	20	12	0	8
331	pile of bottles	40	otherprop	7	Objects	0	-	0	-	9	6	0	3
332	pile of candles	40	otherprop	7	Objects	0	-	0	-	2	0	0	2
333	pile of folders	26	paper	7	Objects	0	-	0	-	4	4	3	0
334	pile of papers	26	paper	7	Objects	0	-	0	-	8	4	3	4
335	pile of pillows	18	pillow	7	Objects	13	pillow	0	-	4	4	0	0
336	pile of wires	40	otherprop	7	Objects	0	-	0	-	1	1	0	0
337	pillar	38	otherstructure	0	-	0	-	0	-	59	59	10	0
338	pillow	18	pillow	7	Objects	13	pillow	5	cushions	1569	1362	198	207
339	pin board wall	40	otherprop	7	Objects	1	wall	0	-	4	4	0	0
340	pipe	40	otherprop	7	Objects	0	-	0	-	50	46	4	4
341	plank	38	otherstructure	0	-	0	-	0	-	85	85	0	0
342	plant	40	otherprop	7	Objects	19	plant	6	items	993	833	74	160
343	planter	40	otherprop	7	Objects	19	plant	0	-	3	3	0	0
344	plants	40	otherprop	7	Objects	19	plant	0	-	8	8	0	0
345	plate	40	otherprop	7	Objects	0	-	0	-	60	50	1	10
346	plates	40	otherprop	7	Objects	0	-	0	-	6	6	0	0
347	platform	38	otherstructure	0	-	0	-	0	-	2	2	0	0
348	player	40	otherprop	7	Objects	0	-	0	-	10	7	0	3
349	pocket	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
350	podest	39	otherfurniture	6	Furniture	0	-	0	-	2	2	0	0
351	pooh	40	otherprop	7	Objects	0	-	0	-	2	2	0	0
352	poster	11	picture	8	Picture	1	wall	0	-	6	6	3	0
353	pot	40	otherprop	7	Objects	26	object	0	-	45	38	0	7
354	price tag	40	otherprop	7	Objects	0	-	0	-	22	22	3	0
355	printer	40	otherprop	7	Objects	26	object	0	-	55	42	0	13
356	projector	40	otherprop	7	Objects	0	-	0	-	0	0	3	0
357	puf	39	otherfurniture	6	Furniture	0	-	0	-	61	61	0	0
358	puppet	40	otherprop	7	Objects	0	-	0	-	2	2	1	0
359	rack	39	otherfurniture	6	Furniture	0	-	0	-	112	101	6	11
360	radiator	39	otherfurniture	6	Furniture	26	object	0	-	165	146	5	19
361	radio	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
362	rag	27	towel	7	Objects	0	-	0	-	4	0	0	4
363	rail	38	otherstructure	0	-	0	-	0	-	3	3	0	0
364	railing	38	otherstructure	0	-	0	-	0	-	8	8	0	0
365	ramp	38	otherstructure	0	-	0	-	0	-	7	7	0	0
366	recycle bin	40	otherprop	7	Objects	26	object	0	-	19	17	0	2
367	refrigerator	24	refridgerator	6	Furniture	16	fridge	4	appliances	79	73	6	6
368	rocking chair	5	chair	4	Chair	5	chair	1	seating	5	3	0	2
369	roll	40	otherprop	7	Objects	0	-	0	-	48	48	0	0
370	rolled carpet	20	floor mat	7	Objects	2	floor	0	-	11	11	0	0
371	rolling cart	40	otherprop	7	Objects	26	object	0	-	4	4	0	0
372	rolling pin	40	otherprop	7	Objects	0	-	0	-	5	5	0	0
373	roof	22	ceiling	3	Ceiling	15	ceiling	0	-	1	1	0	0
374	round table	7	table	10	Table	7	table	2	table / cabinet	11	5	0	6
375	rowing machine	40	otherprop	7	Objects	0	-	0	-	4	4	0	0
376	rubbish bin	40	otherprop	7	Objects	26	object	0	-	6	6	0	0
377	rug	40	otherprop	7	Objects	0	-	0	-	28	28	0	0
378	sack	37	bag	7	Objects	0	-	0	-	56	56	4	0
379	salad	40	otherprop	7	Objects	0	-	0	-	3	3	0	0
380	salt	40	otherprop	7	Objects	0	-	0	-	12	12	3	0
381	sauce boat	40	otherprop	7	Objects	0	-	0	-	0	0	2	0
382	scale	40	otherprop	7	Objects	0	-	0	-	24	22	1	2
383	scarf	40	otherprop	7	Objects	14	clothes	0	-	2	2	0	0
384	screen	40	otherprop	7	Objects	0	-	0	-	7	2	0	5
385	seat	39	otherfurniture	6	Furniture	5	chair	0	-	3	3	0	0
386	seat pad	18	pillow	7	Objects	13	pillow	0	-	6	6	0	0
387	sewing machine	40	otherprop	7	Objects	26	object	0	-	6	6	0	0
